sep=;
ruc;nombre;direccion;telefono;email
1234567890001;Aceites Pro;Av. Principal 123, Quito;02-234-5678;info@aceitespro.com
1234567890002;Filtros Max;Calle Comercial 456, Guayaquil;04-345-6789;ventas@filtrosmax.com
1234567890003;Frenos Seguros;Plaza Central 789, Cuenca;07-456-7890;contacto@frenosseguros.com
1234567890004;Transmisiones Rápidas;Av. Industrial 321, Manta;05-567-8901;info@transmisionesrapidas.com
1234567890005;Bujías Elite;Calle Técnica 654, Ambato;03-678-9012;ventas@bujiaselite.com
1234567890006;Llantas Pro;Av. Automotriz 987, Portoviejo;05-789-0123;contacto@llantaspro.com
1234567890007;Accesorios Rápidos;Plaza Motor 147, Riobamba;03-890-1234;info@accesoriosrapidos.com
1234567890008;Baterías Elite;Calle Energía 258, Loja;07-901-2345;ventas@bateriaselite.com
1234567890009;Repuestos Total;Av. Mecánica 369, Esmeraldas;06-012-3456;contacto@repuestostotal.com
1234567890010;Herramientas Pro;Calle Técnica 741, Machala;07-123-4567;info@herramientaspro.com
